region,gas,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUSTRIA,CO2,97951.6522437784,98084.2874084147,97304.98592951399,98044.3071653092,91869.92325368502,99819.85981083987,97689.4074581835,95694.15442207654,96334.45244011999,92107.34611379058,94193.38825899345,95100.87269040148,97464.46925604639,93432.92053949926,94892.25772834956,88531.08389569717,94194.21291203,87742.73193872468,85223.78155765004
AUSTRIA,CH4,362.70498464137165,360.35297003944,350.9242912490346,346.47743613053586,342.5008738730562,347.6891953501947,341.12025938362206,333.75619976867137,338.5964957222372,332.99964634201194,319.7186518607545,321.2291724131704,328.082277426476,327.6582949016295,326.4365694444531,323.6880503232803,331.1787584178583,327.33746246932776,329.3339635602972
AUSTRIA,N2O,13.291777206390517,13.214367743810026,13.037812472914347,12.890991760937549,12.566299041196064,13.139601493472844,13.102670857699216,12.864603122260945,12.916658682214429,13.284760442561907,13.188983622955181,13.279672626654275,12.95902294403548,12.730013728318301,12.866425220435094,12.587282966814495,12.481758646267256,12.103009482063142,11.93584705921968
AUSTRIA,PFCs,0.017608263,0.0190308675,0.0255138195,0.023112856,0.004070268,0.008744087000000001,0.00823961,0.0057042989999999995,0.005539012,0.006035401,0.005630925,0.005712452,0.005083675,0.0037742920000000003,0.00315541433333337,0.0023030684444444527,0.0014722791481481929,0.001023080753086423,0.000530634781893013
AUSTRIA,SF6,0.022500163646489,0.0207993956151,0.017045012645235,0.017388857735713,0.016060007338797002,0.01584812901635,0.014679739898332999,0.014915484508566,0.014702871797187,0.015138332685196,0.01500970541326,0.018742788475533,0.019140569773664,0.018583634971706,0.020852836433034,0.021109196110488,0.017666729231729,0.017349491406743328,0.01618170973131345
AUSTRIA,HFC134a,0.40151599435767,0.36795819286216,0.38197332759498,0.39456159827115,0.39938067254595,0.41405219798069,0.43277481657818,0.45712455130126,0.47982215024618,0.5080201679818,0.52149546725996,0.53761253325405,0.54421720790849,0.54917367747927,0.55617180888556,0.54868043003778,0.53781059915329,0.53402290637796,0.52663993887543
AUSTRIA,HFC23,0.000432232,0.000333183,0.000414263,0.000863263,0.000863263,0.000863263,0.00086061,0.00086061,0.00086061,0.00086061,0.00086061,0.00086061,0.00086061,0.00086061,0.00086161,0.00086261,0.00086261,0.00086327666666667,0.00086383222222222
AUSTRIA,HFC32,0.033033252535775,0.036307184294057,0.039195564110437,0.041417548135604,0.046658647877811,0.051287029410629,0.060317708221196,0.065043539822677,0.071490333033932,0.079175626361808,0.0830566716441,0.08616692845547,0.088606944061093,0.096411116780004,0.1052537343866,0.10862229811817,0.11059392193675,0.11532152365567,0.11867745341203
AUSTRIA,HFC125,0.081519625029078,0.088968827737991,0.093825675457425,0.10004121348499,0.11444906372919,0.12839610841751,0.14393314464735,0.15240330833354,0.16345415026184,0.17471855603211,0.18760138636564,0.1852522936998,0.1853151849405,0.19458589870987,0.18323790754724,0.17590004884658,0.1527130185528,0.13875539183377,0.12392788659595
AUSTRIA,HFC143a,0.052413388342926,0.056910069752287,0.058961811851289,0.063280759761861,0.073014624239559,0.082810473477867,0.088795536012156,0.092854097788654,0.097739496265213,0.10183644689986,0.11190830826038,0.10620295596664,0.10510107550187,0.10532591319558,0.082014932680495,0.06863609551901,0.040698379458647,0.019982250479671,0.018618541878326
